headlines,date,type
"Why does America always seem to have trillions of dollars for wars, but basic things like raises for teachers, healthcare and social security are always in danger?<e2><80><94> andy lassner (@andylassner) ",2020-01-04,topTweets
"1. I<e2><80><99>ve had a chance to check in with sources, including two US officials who had intelligence briefings after the strike on Suleimani. Here is what I<e2><80><99>ve learned. According to them, the evidence suggesting there was to be an imminent attack on American targets is <e2><80><9c>razor thin<e2><80><9d>.<e2><80><94> Rukmini Callimachi (@rcallimachi) ",2020-01-04,topTweets
"Nicole Kidman & Keith Urban Donate $500,000 to Australian Fire Relief",2020-01-04,topNewsHeadlines
Trump threatens Iran with attacks on 52 sites,2020-01-04,topNewsHeadlines
"After Soleimani death, Colin Kaepernick decries US 'terrorist attacks against Black and Brown people'",2020-01-04,topNewsHeadlines
Pink donates half a million dollars to Australian services amid wildfire crisis,2020-01-04,topNewsHeadlines
"NOTE TO DEMOCRATS: Obama Launched 2,800 Strikes On Iraq, Syria Without Congressional Approval",2020-01-04,topNewsHeadlines
Maxine Waters' phone call with 'Greta Thunberg' was apparently the work of Russian pranksters,2020-01-04,topNewsHeadlines
UPRISING: Hundreds Of <e2><80><98>First Time<e2><80><99> Pro-Gun Activists Flood NRA Town Hall In Virginia,2020-01-04,topNewsHeadlines
Booger McFarland Draws Huge Penis On Screen During Texans-Bills Game (VIDEO),2020-01-04,topNewsHeadlines
"Irwin family saves 90,000+ animals injured in Australia wildfires",2020-01-04,topNewsHeadlines
Derrick Henry,2020-01-04,topTrendingOnSm
#NFLPlayoffs,2020-01-04,topTrendingOnSm
La Liga,2020-01-04,topTrendingOnSm
Josh Allen,2020-01-04,topTrendingOnSm
Adele,2020-01-04,topTrendingOnSm
FA Cup,2020-01-04,topTrendingOnSm
Playoff schedule,2020-01-04,topTrendingOnSm
WVU basketball,2020-01-04,topTrendingOnSm
Barcelona,2020-01-04,topTrendingOnSm
Football,2020-01-04,topTrendingOnSm
UNC basketball,2020-01-04,topTrendingOnSm
Texans,2020-01-04,topTrendingOnSm
