date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-02,AS,0,3,2,NA,NA,NA,NA,NA,NA,NA,33ed9ee9243012a2f29381536962f508253e1df0,0,NA,5,3,3,60,0,0,0,0,0
2020-04-02,AZ,1598,21111,NA,NA,NA,NA,NA,NA,NA,NA,6e70cfc7ece882cb642606ef4d42687c36b5f6cc,32,NA,22709,22709,22709,04,3,0,1466,185,1651
2020-04-02,CA,9191,23809,59500,1922,NA,816,NA,NA,NA,NA,99877fe91b05bb13daef3f63c02c50d2a271e7f5,203,NA,92500,33000,33000,06,32,0,2037,1036,3073
2020-04-02,CO,3342,15303,NA,NA,620,NA,NA,NA,NA,NA,87f72739eeb827250a64fd310d95871229e9020f,80,620,18645,18645,18645,08,11,111,1420,376,1796
2020-04-02,CT,3824,14476,NA,827,NA,NA,NA,NA,NA,NA,bbaf84bc79e98252465e76199b3d66cb58316223,112,NA,18300,18300,18300,09,27,0,1433,267,1700
2020-04-02,DC,653,4417,NA,NA,NA,NA,NA,NA,NA,173,bb0f0a7da39336cefc7629d9814ca0bd2a83e358,12,NA,5070,5070,5070,11,1,0,1155,67,1222
2020-04-02,DE,393,4566,NA,56,NA,NA,NA,NA,NA,49,ed433f1aae9fc98fb0f7510f5bbd3f0bd9cdf5ab,12,NA,4959,4959,4959,10,1,0,551,25,576
2020-04-02,FL,8010,69286,1285,NA,1123,NA,NA,NA,NA,NA,174161bf2644248219c4f77323f7aa378fc8d409,128,1123,78581,77296,77296,12,41,174,9757,1055,10812
2020-04-02,GA,5348,17609,NA,NA,1056,NA,NA,NA,NA,NA,15b36e0f73598e9edefa4eb26b735231587f472d,163,1056,22957,22957,22957,13,24,104,1921,710,2631
2020-04-02,GU,82,442,NA,19,NA,2,NA,NA,NA,12,50fcb6de190ca75d99bd2eaf474a7bf0c5156550,3,NA,524,524,524,66,0,0,36,5,41
2020-04-02,HI,258,10206,NA,NA,15,NA,6,NA,NA,69,ac8dc9b5da36db2163bbfdd8ca59dd03cfec5f3d,1,15,10464,10464,10464,15,0,2,1485,50,1535
2020-04-02,IA,614,8054,NA,74,120,NA,NA,NA,NA,46,1f5c0a22d84a29b633b8b5a1fd1154e5b7a69bd9,11,120,8668,8668,8668,19,2,21,750,65,815
2020-04-02,ID,669,6613,NA,NA,49,NA,7,NA,NA,NA,378cb12d7518fb0b43fcd79e17608a1b0d3a2d1c,9,49,7282,7282,7282,16,0,3,537,144,681
2020-04-02,IL,7695,35961,NA,NA,NA,NA,NA,NA,NA,NA,1a8b1e0bab7743ed9c982d78d0d7844622a6d6a3,157,NA,43656,43656,43656,17,16,0,2557,715,3272
2020-04-02,IN,3039,13246,NA,NA,NA,NA,NA,NA,NA,NA,7efa7f48655167cc1d748ae1740c9b97dd06a209,78,NA,16285,16285,16285,18,13,0,1436,474,1910
2020-04-02,KS,552,6059,NA,NA,138,NA,NA,NA,NA,NA,e1d064496cc599d8997422f5393e363895fed048,13,138,6611,6611,6611,20,3,24,648,70,718
2020-04-02,KY,680,7220,NA,NA,NA,NA,NA,NA,NA,NA,9ab2e64fd49a2aba449f469559e03c171789906f,20,NA,7900,7900,7900,21,3,0,255,89,344
